file,subset,frame_p,frame_r,frame_f1,note_p,note_r,note_f1,frame_F0_p,frame_F0_r,frame_F0_f1,note_F0_p,note_F0_r,note_F0_f1,frame_tdr,note_tdr,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn
01_BN3-154-E_comp_02.npz,comp,0.8599033816425121,0.7574468085106383,0.8054298642533937,0.8543689320388349,0.7787610619469026,0.8148148148148148,0.8731707317073171,0.7732181425485961,0.8201603665521191,0.8640776699029126,0.7946428571428571,0.827906976744186,0.994413407821229,0.9887640449438202,356,58,114,88,15,25,358,52,105,89,14,23
04_BN3-154-E_comp_02.npz,comp,0.2687074829931973,0.20153061224489796,0.2303206997084548,0.25675675675675674,0.1958762886597938,0.2222222222222222,0.27526132404181186,0.20153061224489796,0.23269513991163476,0.2638888888888889,0.1958762886597938,0.22485207100591717,1.0,1.0,79,215,313,19,55,78,79,208,313,19,53,78
02_Rock1-90-C#_solo_01.npz,solo,0.8382352941176471,0.8465346534653465,0.8423645320197044,0.8166666666666667,0.8305084745762712,0.8235294117647058,0.8472906403940886,0.8514851485148515,0.8493827160493828,0.8333333333333334,0.847457627118644,0.8403361344537815,0.9941860465116279,0.98,342,66,62,49,11,10,344,62,60,50,10,9
03_Jazz3-137-Eb_comp_02.npz,comp,0.7082152974504249,0.6443298969072165,0.6747638326585695,0.6829268292682927,0.6588235294117647,0.6706586826347305,0.8803418803418803,0.7963917525773195,0.8362652232746955,0.8658536585365854,0.8352941176470589,0.8502994011976048,0.8090614886731392,0.7887323943661971,250,103,138,56,26,29,309,42,79,71,11,14
05_SS1-68-E_comp_00.npz,comp,0.7894736842105263,0.7152729785763648,0.7505438723712835,0.756578947368421,0.7666666666666667,0.7615894039735099,0.8663101604278075,0.783690393918452,0.8229317851959361,0.7828947368421053,0.7933333333333333,0.7880794701986755,0.9126984126984127,0.9663865546218487,1035,276,412,115,37,35,1134,175,313,119,33,31
01_BN1-129-Eb_solo_02.npz,solo,0.8560885608856088,0.8923076923076924,0.8738229755178908,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.9302325581395349,0.9230769230769231,0.9266409266409267,0.8909090909090909,0.8596491228070176,0.875,0.9666666666666667,0.9795918367346939,232,39,28,48,9,9,240,18,20,49,6,8
05_BN1-129-Eb_solo_00.npz,solo,0.7195945945945946,0.8255813953488372,0.7689530685920578,0.7192982456140351,0.7884615384615384,0.7522935779816514,0.9320754716981132,0.9573643410852714,0.9445506692160612,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8623481781376519,0.8541666666666666,213,83,45,41,16,11,247,18,11,48,4,4
01_BN3-119-G_comp_02.npz,comp,0.882,0.8062157221206582,0.8424068767908309,0.75,0.8235294117647058,0.7850467289719626,0.918,0.8391224862888482,0.8767908309455588,0.7927927927927928,0.8627450980392157,0.8262910798122066,0.9607843137254902,0.9545454545454546,441,59,106,84,28,18,459,41,88,88,23,14
05_SS1-100-C#_solo_01.npz,solo,0.7786259541984732,0.8986784140969163,0.8343558282208589,0.8181818181818182,0.972972972972973,0.8888888888888888,0.8015267175572519,0.9251101321585903,0.8588957055214724,0.8372093023255814,0.972972972972973,0.9,0.9714285714285714,1.0,204,58,23,36,8,1,210,52,17,36,7,1
02_BN1-147-Gb_solo_00.npz,solo,0.791970802919708,0.9004149377593361,0.8427184466019417,0.7878787878787878,0.8813559322033898,0.832,0.8910505836575876,0.950207468879668,0.9196787148594378,0.8888888888888888,0.9491525423728814,0.9180327868852459,0.9475982532751092,0.9285714285714286,217,57,24,52,14,7,229,28,12,56,7,3
03_Jazz3-137-Eb_solo_01.npz,solo,0.7923728813559322,0.7890295358649789,0.7906976744186046,0.7636363636363637,0.84,0.8,0.9612068965517241,0.9409282700421941,0.9509594882729211,0.9245283018867925,0.98,0.9514563106796117,0.8385650224215246,0.8571428571428571,187,49,50,42,13,8,223,9,14,49,4,1
05_BN1-129-Eb_solo_02.npz,solo,0.8038277511961722,0.6829268292682927,0.7384615384615385,0.7560975609756098,0.6326530612244898,0.6888888888888889,0.8421052631578947,0.7154471544715447,0.7736263736263737,0.7804878048780488,0.6530612244897959,0.7111111111111111,0.9545454545454546,0.96875,168,41,78,31,10,18,176,33,70,32,9,17
03_BN1-129-Eb_comp_02.npz,comp,0.7836134453781513,0.5677321156773212,0.6584289496910856,0.7766990291262136,0.5797101449275363,0.6639004149377593,0.8319327731092437,0.6027397260273972,0.6990291262135923,0.8252427184466019,0.6159420289855072,0.7053941908713693,0.9419191919191919,0.9411764705882353,373,103,284,80,23,58,396,80,261,85,18,53
03_Rock1-130-A_comp_01.npz,comp,0.2988668555240793,0.25606796116504854,0.2758169934640523,0.29411764705882354,0.26011560693641617,0.27607361963190186,0.7598736176935229,0.5837378640776699,0.6602608098833219,0.7410071942446043,0.5953757225433526,0.6602564102564102,0.4386694386694387,0.4368932038834951,211,495,613,45,108,128,481,152,343,103,36,70
05_Funk1-114-Ab_comp_01.npz,comp,0.34172661870503596,0.20474137931034483,0.2560646900269542,0.3018867924528302,0.18181818181818182,0.22695035460992907,0.7007575757575758,0.39870689655172414,0.5082417582417582,0.5833333333333334,0.3181818181818182,0.4117647058823529,0.5135135135135135,0.5714285714285714,95,183,369,16,37,72,185,79,279,28,20,60
